ftype;n;abstool;resulttype;res
buggy;NA;noabs;#correct;12
buggy;NA;noabs;>=correct;4
buggy;1;us_acker;#correct;12
buggy;1;us_acker;>=correct;4
buggy;1;us_noacker;#correct;12
buggy;1;us_noacker;>=correct;4
buggy;1;vaphor;#correct;12
buggy;1;vaphor;>=correct;4
buggy;2;us_acker;#correct;3
buggy;2;us_acker;>=correct;1
buggy;2;vaphor;#correct;12
buggy;2;vaphor;>=correct;4
hinted;1;us_acker;#correct;30
hinted;1;us_acker;>=correct;12
hinted;1;us_noacker;#correct;24
hinted;1;us_noacker;>=correct;10
hinted;1;vaphor;#correct;8
hinted;1;vaphor;>=correct;4
hinted;2;us_acker;#correct;15
hinted;2;us_acker;>=correct;5
nothinted;1;us_acker;#correct;12
nothinted;1;us_acker;>=correct;4
nothinted;1;vaphor;#correct;3
nothinted;1;vaphor;>=correct;1
nothinted;2;us_acker;#correct;9
nothinted;2;us_acker;>=correct;3
